"Desert","Country","Province"
"Dascht-e-Margoh","AFG","Afghanistan"
"Rigestan","AFG","Afghanistan"
"Kalahari","ANG","Cuando Cubango"
"Kalahari","ANG","Moxico"
"Sturt Desert","AUS","New South Wales"
"Red Centre","AUS","Northern Territory"
"Simpson Desert","AUS","Northern Territory"
"Sturt Desert","AUS","Northern Territory"
"Tanami","AUS","Northern Territory"
"Simpson Desert","AUS","Queensland"
"Sturt Desert","AUS","Queensland"
"Great Victoria Desert","AUS","South Australia"
"Nullarbor Plain","AUS","South Australia"
"Red Centre","AUS","South Australia"
"Simpson Desert","AUS","South Australia"
"Gibson Desert","AUS","Western Australia"
"Great Sandy Desert","AUS","Western Australia"
"Great Victoria Desert","AUS","Western Australia"
"Nullarbor Plain","AUS","Western Australia"
"Red Centre","AUS","Western Australia"
"Azaouad","DZ","Algeria"
"Erg Chech","DZ","Algeria"
"Erg Igidi","DZ","Algeria"
"Erg Isaouane","DZ","Algeria"
"Grand Erg Est","DZ","Algeria"
"Grand Erg Ouest","DZ","Algeria"
"Hamada du Draa","DZ","Algeria"
"Tanezrouft","DZ","Algeria"
"Libyan Desert","ET","Beni Suef"
"Arabian Desert","ET","El Bahr el Ahmar"
"Libyan Desert","ET","El Giza"
"Libyan Desert","ET","El Minya"
"Libyan Desert","ET","El Wadi el Jadid"
"Libyan Desert","ET","Matruh"
"Negev","IL","South"
"Thar","IND","Gujarat"
"Thar","IND","Haryana"
"Thar","IND","Punjab"
"Thar","IND","Rajasthan"
"Dascht-e-Kavir","IR","Esfahan"
"Dascht-e-Lut","IR","Esfahan"
"Dascht-e-Lut","IR","Kerman"
"Dascht-e-Kavir","IR","Khorasan"
"Dascht-e-Lut","IR","Khorasan"
"Dascht-e-Kavir","IR","Semnan"
"Dascht-e-Lut","IR","Sistan e Baluchestan"
"Dascht-e-Kavir","IR","Tehran"
"Dascht-e-Kavir","IR","Yazd"
"Dascht-e-Lut","IR","Yazd"
"Syrian Desert","IRQ","Al Anbar"
"Syrian Desert","JOR","Jordan"
"Ust Urt","KAZ","Aqtobe"
"Ryn","KAZ","Atyrau"
"Ryn","KAZ","Batys Qazaqstan"
"Ust Urt","KAZ","Mangghystau"
"Kysylkum","KAZ","Qyzylorda"
"Mujunkum","KAZ","Qyzylorda"
"Mujunkum","KAZ","Zhambyl"
"Erg Rebiana","LAR","Libya"
"Fesan","LAR","Libya"
"Hamada al-Hamra","LAR","Libya"
"Libyan Desert","LAR","Libya"
"Hamada du Draa","MA","Morocco"
"Baja California Desert","MEX","Baja California"
"Sonora","MEX","Chihuahua"
"Sonora","MEX","Sonora"
"Gobi","MNG","Mongolia"
"Kalahari","NAM","Namibia"
"Namib","NAM","Namibia"
"Rub Al Chali","OM","Oman"
"Rigestan","PK","Pakistan"
"Thar","PK","Pakistan"
"Ryn","R","Astrakhanskaya oblast"
"Ryn","R","Rep. of Kalmykiya"
"Kalahari","RB","Botswana"
"Atacama","RCH","Chile"
"Erg Igidi","RIM","Mauritania"
"Erg Maqteir","RIM","Mauritania"
"Erg Ouarane","RIM","Mauritania"
"Trarza","RIM","Mauritania"
"Azaouad","RMM","Mali"
"Erg Chech","RMM","Mali"
"Erg Igidi","RMM","Mali"
"Tanezrouft","RMM","Mali"
"Azaouad","RN","Niger"
"Talak","RN","Niger"
"Tenere","RN","Niger"
"Kalahari","RSA","North West"
"Nefud","SA","Saudi Arabia"
"Rub Al Chali","SA","Saudi Arabia"
"Syrian Desert","SA","Saudi Arabia"
"Ferlo","SN","Louga"
"Ferlo","SN","Saint Louis"
"Ferlo","SN","Tambacounda"
"Libyan Desert","SUD","ash Shamaliyah"
"Nubian Desert","SUD","ash Sharqiyah"
"Darfur","SUD","Darfur"
"Libyan Desert","SUD","Darfur"
"Syrian Desert","SYR","Syria"
"Djourab","TCH","Chad"
"Erdi Ennedi","TCH","Chad"
"Tenere","TCH","Chad"
"Gobi","TJ","Gansu"
"Gobi","TJ","Nei Monggol"
"Ordos","TJ","Nei Monggol"
"Gobi","TJ","Ningxia Huizu"
"Ordos","TJ","Ningxia Huizu"
"Qaidam","TJ","Qinghai"
"Ordos","TJ","Shaanxi"
"Gurbantunggut","TJ","Xinjiang Uygur"
"Kum Tagh","TJ","Xinjiang Uygur"
"TaklaMakan","TJ","Xinjiang Uygur"
"Karakum","TM","Ahal"
"Karakum","TM","Balkan"
"Karakum","TM","Dashhowuz"
"Karakum","TM","Leban"
"Karakum","TM","Mary"
"Grand Erg Est","TN","Tunisia"
"Rub Al Chali","UAE","Abu Dhabi"
"Rub Al Chali","UAE","Al Fujayrah"
"Rub Al Chali","UAE","Ash Shariqah"
"Rub Al Chali","UAE","Dubayy"
"Rub Al Chali","UAE","Ras al Khaymah"
"Rub Al Chali","UAE","Umm al Qaywayn"
"Chihuahua","USA","Arizona"
"Colorado Plateau","USA","Arizona"
"Mojave","USA","Arizona"
"Sonora","USA","Arizona"
"Great Basin","USA","California"
"Mojave","USA","California"
"Sonora","USA","California"
"Colorado Plateau","USA","Colorado"
"Owyhee","USA","Idaho"
"Great Basin","USA","Nevada"
"Mojave","USA","Nevada"
"Owyhee","USA","Nevada"
"Chihuahua","USA","New Mexico"
"Colorado Plateau","USA","New Mexico"
"Owyhee","USA","Oregon"
"Chihuahua","USA","Texas"
"Colorado Plateau","USA","Utah"
"Great Basin","USA","Utah"
"Great Salt Lake Desert","USA","Utah"
"Mojave","USA","Utah"
"Kysylkum","UZB","Jizzakh"
"Karakum","UZB","Qaraqalpoghiston"
"Kysylkum","UZB","Qaraqalpoghiston"
"Ust Urt","UZB","Qaraqalpoghiston"
"Karakum","UZB","Samarqand"
"Kysylkum","UZB","Samarqand"
"Saguia el-Hamra","WSA","Western Sahara"
"Rub Al Chali","YE","Yemen"
"Kalahari","Z","Southern"
"Kalahari","Z","Western"
