"Lake","Country","Province"
"Neusiedlersee","A","Burgenland"
"Bodensee","A","Vorarlberg"
"Lake Ohrid","AL","Albania"
"Lake Prespa","AL","Albania"
"Lake Skutari","AL","Albania"
"Lake Burley Griffin","AUS","Australia Capital Territory"
"Lake Hume","AUS","New South Wales"
"Lake Eyre","AUS","South Australia"
"Lake Hume","AUS","Victoria"
"Caspian Sea","AZ","Azerbaijan"
"Lake Tanganjika","BI","Burundi"
"Lake Titicaca","BOL","Bolivia"
"Licancabur Crater Lake","BOL","Bolivia"
"Poopo","BOL","Bolivia"
"Salar de Uyuni","BOL","Bolivia"
"Lago de Sobradinho","BR","Bahia"
"Barrage de Mbakaou","CAM","Adamaoua"
"Chad Lake","CAM","Nord extreme"
"Lake Nyos","CAM","Nordoueste"
"Atlin Lake","CDN","British Columbia"
"Lake Winnipeg","CDN","Manitoba"
"Great Bear Lake","CDN","Northwest Territories"
"Great Slave Lake","CDN","Northwest Territories"
"Lake Erie","CDN","Ontario"
"Lake Huron","CDN","Ontario"
"Lake Manitou","CDN","Ontario"
"Lake Nipigon","CDN","Ontario"
"Lake Ontario","CDN","Ontario"
"Lake Superior","CDN","Ontario"
"Lake Champlain","CDN","Quebec"
"Lake Manicouagan","CDN","Quebec"
"Atlin Lake","CDN","Yukon Territory"
"Brienzersee","CH","BE"
"Thunersee","CH","BE"
"Lac Leman","CH","GE"
"Zurichsee","CH","GL"
"Vierwaldstattersee","CH","LU"
"Vierwaldstattersee","CH","NW"
"Vierwaldstattersee","CH","OW"
"Bodensee","CH","SG"
"Vierwaldstattersee","CH","SZ"
"Zurichsee","CH","SZ"
"Bodensee","CH","TG"
"Lago Maggiore","CH","TI"
"Vierwaldstattersee","CH","UR"
"Lac Leman","CH","VD"
"Lac Leman","CH","VS"
"Zurichsee","CH","ZH"
"Lake Nicaragua","CR","Alajuela"
"Lake Irazu","CR","Cartago"
"Lake Nicaragua","CR","Guanacaste"
"Bodensee","D","Baden Wurttemberg"
"Ammersee","D","Bayern"
"Bodensee","D","Bayern"
"Chiemsee","D","Bayern"
"Starnberger See","D","Bayern"
"Laacher Maar","D","Rheinland Pfalz"
"Lac Assal","DJI","Djibouti"
"Lake Abbe","DJI","Djibouti"
"Arresoe","DK","Denmark"
"Chew Bahir","EAK","Eastern"
"Lake Turkana","EAK","Eastern"
"Lake Victoria","EAK","Nyanza"
"Lake Turkana","EAK","Rift Valley"
"Lake Victoria","EAK","Western"
"Lake Eyasi","EAT","Arusha"
"Lake Natron","EAT","Arusha"
"Lake Malawi","EAT","Iringa"
"Lake Victoria","EAT","Kagera"
"Lake Tanganjika","EAT","Kigoma"
"Lake Victoria","EAT","Mara"
"Lake Rukwa","EAT","Mbeya"
"Lake Tanganjika","EAT","Mbeya"
"Lake Victoria","EAT","Mwanza"
"Lake Malawi","EAT","Ruvuma"
"Lake Rukwa","EAT","Tabora"
"Lake Tanganjika","EAT","Tabora"
"Lake Kioga","EAU","Uganda"
"Lake Sese Seko/Albertsee","EAU","Uganda"
"Lake Victoria","EAU","Uganda"
"Rutanzige/Eduardsee","EAU","Uganda"
"Lake Nasser","ET","Aswan"
"Chew Bahir","ETH","Ethiopia"
"Lake Abaya","ETH","Ethiopia"
"Lake Abbe","ETH","Ethiopia"
"Lake Tana","ETH","Ethiopia"
"Lake Turkana","ETH","Ethiopia"
"Ozero Pskovskoje","EW","Estonia"
"Lac Leman","F","Rhone Alpes"
"Loch Ness","GB","Central"
"Loch Lomond","GB","Highland"
"Loch Ness","GB","Strathclyde"
"Lake Bosumtwi","GH","Ghana"
"Lake Volta","GH","Ghana"
"Lake Prespa","GR","Dhytiki Makedhonia"
"Balaton","H","Fejer"
"Neusiedlersee","H","Gyor Sopron"
"Balaton","H","Somogy"
"Balaton","H","Veszprem"
"Balaton","H","Zala"
"Lago di Bolsena","I","Lazio"
"Lago di Bracciano","I","Lazio"
"Lago di Como","I","Lombardia"
"Lago di Garda ","I","Lombardia"
"Lago Maggiore","I","Lombardia"
"Lago Maggiore","I","Piemonte"
"Lago Trasimeno","I","Toscana"
"Lago Trasimeno","I","Umbria"
"Lago di Garda ","I","Veneto"
"Lake Genezareth","IL","North"
"Dead Sea","IL","South"
"Lake Urmia","IR","Azarbayian e Gharbt"
"Lake Urmia","IR","Azarbayian e Sharqi"
"Caspian Sea","IR","Gilan"
"Hamun e Jaz Murian","IR","Kerman"
"Caspian Sea","IR","Mazandaran"
"Hamun e Jaz Murian","IR","Sistan e Baluchestan"
"Daryacheh ye Namak","IR","Tehran"
"Dead Sea","JOR","Jordan"
"Ozero Balchash","KAZ","Almaty (munic.)"
"Caspian Sea","KAZ","Atyrau"
"Caspian Sea","KAZ","Mangghystau"
"Ozero Aral","KAZ","Qyzylorda"
"Ozero Balchash","KAZ","Taldyqorghan"
"Ozero Balchash","KAZ","Zhambyl"
"Ozero Balchash","KAZ","Zhezkazghan"
"Issyk-Kul","KGZ","Kyrgyzstan"
"Lago de Chapala","MEX","Jalisco"
"Lake Ohrid","MK","Macedonia"
"Lake Prespa","MK","Macedonia"
"Lake Skutari","MNE","Montenegro"
"Lake Chilwa","MOC","Niassa"
"Lake Malawi","MOC","Niassa"
"Lake Cabora-Bassa","MOC","Tete"
"Lake Chilwa","MW","Malawi"
"Lake Malawi","MW","Malawi"
"Mjoesa-See","N","Hedmark"
"Mjoesa-See","N","Oppland"
"Etoscha Salt Pan","NAM","Namibia"
"Lake Managua","NIC","Nicaragua"
"Lake Nicaragua","NIC","Nicaragua"
"Lake Titicaca","PE","Puno"
"Caspian Sea","R","Astrakhanskaya oblast"
"Ozero Baikal","R","Irkutskaya oblast"
"Ozero Taimyr","R","Krasnoyarskiy kray"
"Ozero Ladoga","R","Leningradskaya oblast"
"Ozero Onega","R","Leningradskaya oblast"
"Ozero Tschany","R","Novosibirskaya oblast"
"Ozero Chanka","R","Primorsky kray"
"Ozero Pskovskoje","R","Pskovskaya oblast"
"Ozero Baikal","R","Rep. of Buryatiya"
"Caspian Sea","R","Rep. of Dagestan"
"Caspian Sea","R","Rep. of Kalmykiya"
"Ozero Ladoga","R","Rep. of Karelia"
"Ozero Onega","R","Rep. of Karelia"
"Ozero Onega","R","Vologodskaya oblast"
"Laguna Mar Chiquita","RA","Cordoba"
"Laguna Mar Chiquita","RA","Santa Fe"
"Laguna Mar Chiquita","RA","Santiago de Estero"
"Lake Ngami","RB","Botswana"
"Makarikari Salt Pan","RB","Botswana"
"Licancabur Crater Lake","RCH","Chile"
"Lake Toba","RI","Indonesia"
"Chad Lake","RN","Niger"
"Lake Kivu","RWA","Rwanda"
"Vaenern","S","Alvsborg"
"Siljan","S","Dalarna"
"Vaettern","S","Jonkoping"
"Vaettern","S","Orebro"
"Vaettern","S","Ostergotland"
"Vaenern","S","Skaraborg"
"Vaettern","S","Skaraborg"
"Maelaren","S","Sodermanland"
"Maelaren","S","Stockholm"
"Maelaren","S","Uppsala"
"Vaenern","S","Varmland"
"Storuman","S","Vasterbotten"
"Maelaren","S","Vastmanland"
"Paeijaenne","SF","Haeme"
"Kallavesi","SF","Kuopio"
"Saimaa","SF","Kymi"
"Inari","SF","Lappia"
"Saimaa","SF","Mikkeli"
"Oulujaervi","SF","Oulu"
"Paeijaenne","SF","Suomi"
"Lake Nasser","SUD","ash Shamaliyah"
"Lake Genezareth","SYR","Syria"
"Chad Lake","TCH","Chad"
"Ozero Chanka","TJ","Heilongjiang"
"Qinghai Lake","TJ","Qinghai"
"Nam Co","TJ","Tibet"
"Lop Nor","TJ","Xinjiang Uygur"
"Caspian Sea","TM","Balkan"
"Lake Van","TR","Bitlis"
"Lake Keban","TR","Elazig"
"Lake Keban","TR","Malatya"
"Lake Keban","TR","Tunceli"
"Lake Van","TR","Van"
"Lake Mead","USA","Arizona"
"Lake Powell","USA","Arizona"
"Lake Tahoe","USA","California"
"Lake Okeechobee","USA","Florida"
"Lake Michigan","USA","Illinois"
"Lake Michigan","USA","Indiana"
"Kentucky Lake","USA","Kentucky"
"Lake Erie","USA","Michigan"
"Lake Huron","USA","Michigan"
"Lake Michigan","USA","Michigan"
"Lake Superior","USA","Michigan"
"Lake Superior","USA","Minnesota"
"Fort Peck Lake","USA","Montana"
"Lake Sakakawea","USA","Montana"
"Lake Mead","USA","Nevada"
"Lake Tahoe","USA","Nevada"
"Pyramid Lake","USA","Nevada"
"Lake Winnipesaukee","USA","New Hampshire"
"Lake Champlain","USA","New York"
"Lake Erie","USA","New York"
"Lake Ontario","USA","New York"
"Lake Oahe","USA","North Dakota"
"Lake Sakakawea","USA","North Dakota"
"Lake Erie","USA","Ohio"
"Crater Lake","USA","Oregon"
"Lake Erie","USA","Pennsylvania"
"Lake Oahe","USA","South Dakota"
"Chickamauga Lake","USA","Tennessee"
"Kentucky Lake","USA","Tennessee"
"Great Salt Lake","USA","Utah"
"Lake Powell","USA","Utah"
"Lake Champlain","USA","Vermont"
"Franklin. D. Roosevelt Lake","USA","Washington"
"Lake Michigan","USA","Wisconsin"
"Lake Superior","USA","Wisconsin"
"Ozero Aral","UZB","Qaraqalpoghiston"
"Chad Lake","WAN","Nigeria"
"Lake Kainji","WAN","Nigeria"
"Dead Sea","WEST","West Bank"
"Lake Maracaibo","YV","Merida"
"Lake Maracaibo","YV","Trujillo"
"Lake Maracaibo","YV","Zulia"
"Lake Bangweulu","Z","Luapula"
"Lake Mweru","Z","Luapula"
"Lake Bangweulu","Z","Northern"
"Lake Tanganjika","Z","Northern"
"Lake Kariba","Z","Southern"
"Lake Mai Ndombe","ZRE","Bandundu"
"Lake Sese Seko/Albertsee","ZRE","Haut Zaire"
"Lake Kivu","ZRE","Kivu"
"Lake Tanganjika","ZRE","Kivu"
"Rutanzige/Eduardsee","ZRE","Kivu"
"Lake Mweru","ZRE","Shaba/Katanga"
"Lake Tanganjika","ZRE","Shaba/Katanga"
"Lake Kariba","ZW","Zimbabwe"
