"City","Province","Country","River","Lake","Sea"
"El Minya","El Minya","ET","Nile","",""
"Qena","Qena","ET","Nile","",""
"El Uqsur","Qena","ET","Nile","",""
"Sohag","Sohag","ET","Nile","",""
"Bur Said","Bur Said (munic.)","ET","","","Mediterranean Sea"
"Alexandria","El Iskandariya","ET","","","Mediterranean Sea"
"Cairo","El Qahira","ET","Nile","",""
"Helwan","El Qahira","ET","Nile","",""
"El Suweiz","El Suweiz","ET","","","Red Sea"
"Jakarta","Indonesia","RI","","","Sunda Sea"
"Semarang","Indonesia","RI","","","Sunda Sea"
"Surabaya","Indonesia","RI","","","Sunda Sea"
"Banda Aceh","Indonesia","RI","","","Indian Ocean"
"Banda Aceh","Indonesia","RI","","","Andaman Sea"
"Bengkulu","Indonesia","RI","","","Indian Ocean"
"Bandar Lampung","Indonesia","RI","","","Indian Ocean"
"Padang","Indonesia","RI","","","Indian Ocean"
"Medan","Indonesia","RI","","","Malakka Strait"
"Pontianak","Indonesia","RI","","","South China Sea"
"Banjarmasin","Indonesia","RI","","","Sunda Sea"
"Samarinda","Indonesia","RI","","","Sunda Sea"
"Ujung Pandang","Indonesia","RI","","","Sunda Sea"
"Ambon","Indonesia","RI","","","Sunda Sea"
"Balikpapan","Indonesia","RI","","","Sunda Sea"
"Manado","Indonesia","RI","","","Sulawesi Sea"
"Pekalongan","Indonesia","RI","","","Sunda Sea"
"Tegal","Indonesia","RI","","","Sunda Sea"
"Pematang Siantar","Indonesia","RI","Asahan","",""
"Probolinggo","Indonesia","RI","","","Sunda Sea"
"Pangkal Pinang","Indonesia","RI","","","South China Sea"
"Tanjung Balai","Indonesia","RI","","","Malakka Strait"
"Batam","Indonesia","RI","","","South China Sea"
"Pare Pare","Indonesia","RI","","","Sunda Sea"
"Dili","Timor-Leste","TL","","","Sunda Sea"
"Port Moresby","Papua New Guinea","PNG","","","Pacific Ocean"
"Ar Ramadi","Al Anbar","IRQ","Euphrat","",""
"Al Hillah","Babil","IRQ","Euphrat","",""
"Baghdad","Baghdad","IRQ","Tigris","",""
"Al Basrah","Al Basrah","IRQ","Schatt al Arab","",""
"An Nasiriyah","Dhi Qar","IRQ","Euphrat","",""
"Al Amarah","Maysan","IRQ","Tigris","",""
"As Samawah","Al Muthanna","IRQ","Euphrat","",""
"An Najaf","An Najaf","IRQ","Euphrat","",""
"Mosul","Ninawa","IRQ","Tigris","",""
"Diwaniyah","Al Qadisiyah","IRQ","Euphrat","",""
"Samarra","Salah ad Din","IRQ","Tigris","",""
"Al Kut","Wasit","IRQ","Tigris","",""
"Kuwait","Kuwait","KWT","","","Persian Gulf"
"Beirut","Lebanon","RL","","","Mediterranean Sea"
"Hakodate","Hokkaido","J","","","Sea of Japan"
"Hakodate","Hokkaido","J","","","Sea of Japan"
"Aomori","Aomori","J","","","Sea of Japan"
"Sendai","Miyagi","J","","","Pacific Ocean"
"Akita","Akita","J","","","Sea of Japan"
"Chiba","Chiba","J","","","Pacific Ocean"
"Tokyo","Tokyo","J","","","Pacific Ocean"
"Yokohama","Kanagawa","J","","","Pacific Ocean"
"Kawasaki","Kanagawa","J","","","Pacific Ocean"
"Niigata","Niigata","J","","","Sea of Japan"
"Toyama","Toyama","J","","","Sea of Japan"
"Kanazawa","Ishikawa","J","","","Sea of Japan"
"Shizuoka","Shizuoka","J","","","Pacific Ocean"
"Nagoya","Aichi","J","","","Pacific Ocean"
"Tsu","Mie","J","","","Pacific Ocean"
"Osaka","Osaka","J","","","Pacific Ocean"
"Kobe","Hyogo","J","","","Pacific Ocean"
"Wakayama","Wakayama","J","","","Pacific Ocean"
"Tottori","Tottori","J","","","Sea of Japan"
"Matsue","Shimane","J","","","Sea of Japan"
"Okayama","Okayama","J","","","Pacific Ocean"
"Hiroshima","Hiroshima","J","","","Pacific Ocean"
"Tokushima","Tokushima","J","","","Pacific Ocean"
"Takamatsu","Kagawa","J","","","Pacific Ocean"
"Matsuyama","Ehime","J","","","Pacific Ocean"
"Kochi","Kochi","J","","","Pacific Ocean"
"Fukuoka","Fukuoka","J","","","Sea of Japan"
"Kita Kyushu","Fukuoka","J","","","Sea of Japan"
"Nagasaki","Nagasaki","J","","","East China Sea"
"Oita","Oita","J","","","Sea of Japan"
"Miyazaki","Miyazaki","J","","","Pacific Ocean"
"Kagoshima","Kagoshima","J","","","East China Sea"
"Naha","Okinawa","J","","","East China Sea"
"Naha","Okinawa","J","","","East China Sea"
"Pusan","South Korea","ROK","","","Sea of Japan"
"Inchon","South Korea","ROK","","","Yellow Sea"
"Ulsan","South Korea","ROK","","","Sea of Japan"
"Mokpo","South Korea","ROK","","","Yellow Sea"
"Kunsan","South Korea","ROK","","","Yellow Sea"
"Yosu","South Korea","ROK","","","East China Sea"
"Male","Maldives","MV","","","Indian Ocean"
"Muscat","Oman","OM","","","Gulf of Oman"
"Abu Dhabi","Abu Dhabi","UAE","","","Persian Gulf"
"Dubai","Dubayy","UAE","","","Persian Gulf"
"Sharjah","Ash Shariqah","UAE","","","Persian Gulf"
"Aden","Yemen","YE","","","Gulf of Aden"
"Manila","Philippines","RP","","","South China Sea"
"Davao","Philippines","RP","","","Sulawesi Sea"
"Cebu","Philippines","RP","","","Sulawesi Sea"
"Zamboanga","Philippines","RP","","","Sulawesi Sea"
"Cagayan de Oro","Philippines","RP","","","Sulawesi Sea"
"Singapore","Singapore","SGP","","","South China Sea"
"Colombo","Sri Lanka","CL","","","Indian Ocean"
"Hualien","Taiwan","RC","","","Pacific Ocean"
"Taitung","Taiwan","RC","","","Pacific Ocean"
"Chilung","Taiwan","RC","","","East China Sea"
"Hsinchu","Taiwan","RC","","","East China Sea"
"Kaohsiung","Taiwan","RC","","","South China Sea"
"Tainan","Taiwan","RC","","","South China Sea"
"The Valley","Anguilla","AXA","","","Atlantic Ocean"
"Saint Johns","Antigua and Barbuda","AG","","","Caribbean Sea"
"Oranjestad","Aruba","ARU","","","Caribbean Sea"
"Nassau","Bahamas","BS","","","Atlantic Ocean"
"Bridgetown","Barbados","BDS","","","Atlantic Ocean"
"Campeche","Campeche","MEX","","","Gulf of Mexico"
"Ciudad Juarez","Chihuahua","MEX","Rio Grande","",""
"Guadalajara","Jalisco","MEX","Rio Lerma","",""
"Tampico","Tamaulipas","MEX","","","Gulf of Mexico"
"Reynosa","Tamaulipas","MEX","Rio Grande","",""
"Nuevo Laredo","Tamaulipas","MEX","Rio Grande","",""
"Ciudad Madero","Tamaulipas","MEX","","","Gulf of Mexico"
"Coatzacoalcos","Veracruz","MEX","","","Gulf of Mexico"
"Veracruz Llave","Veracruz","MEX","","","Gulf of Mexico"
"Hamilton","Bermuda","BERM","","","Atlantic Ocean"
"Road Town","British Virgin Islands","BVIR","","","Caribbean Sea"
"Edmonton","Alberta","CDN","Saskatchewan River","",""
"Vancouver","British Columbia","CDN","","","Pacific Ocean"
"Victoria","British Columbia","CDN","","","Pacific Ocean"
"Saint Johns","Newfoundland","CDN","","","Atlantic Ocean"
"Yellowknife","Northwest Territories","CDN","","Great Slave Lake",""
"Halifax","Nova Scotia","CDN","","","Atlantic Ocean"
"Hamilton","Ontario","CDN","","Lake Ontario",""
"Toronto","Ontario","CDN","","Lake Ontario",""
"Windsor","Ontario","CDN","Detroit River","",""
"Oshawa","Ontario","CDN","","Lake Ontario",""
"Saint Catharines","Ontario","CDN","","Lake Ontario",""
"Thunder Bay","Ontario","CDN","","Lake Superior",""
"Charlottetown","Prince Edward Island","CDN","","","Atlantic Ocean"
"Montreal","Quebec","CDN","Saint Lawrence River","",""
"Quebec","Quebec","CDN","Saint Lawrence River","",""
"Saskatoon","Saskatchewan","CDN","Saskatchewan River","",""
"Whitehorse","Yukon Territory","CDN","Yukon River","",""
"Huntsville","Alabama","USA","Tennessee","",""
"Little Rock","Arkansas","USA","Arkansas","",""
"Los Angeles","California","USA","","","Pacific Ocean"
"San Diego","California","USA","","","Pacific Ocean"
"San Francisco","California","USA","","","Pacific Ocean"
"Bridgeport","Connecticut","USA","","","Atlantic Ocean"
"Hartford","Connecticut","USA","Connecticut River","",""
"New Haven","Connecticut","USA","","","Atlantic Ocean"
"Stamford","Connecticut","USA","","","Atlantic Ocean"
"Jacksonville","Florida","USA","","","Atlantic Ocean"
"Miami","Florida","USA","","","Atlantic Ocean"
"Tampa","Florida","USA","","","Gulf of Mexico"
"St. Petersburg","Florida","USA","","","Gulf of Mexico"
"Savannah","Georgia","USA","","","Atlantic Ocean"
"Honolulu","Hawaii","USA","","","Pacific Ocean"
"Chicago","Illinois","USA","","Lake Michigan",""
"Evansville","Indiana","USA","Ohio River","",""
"Gary","Indiana","USA","","Lake Michigan",""
"Wichita","Kansas","USA","Arkansas","",""
"Kansas City","Kansas","USA","Missouri","",""
"Louisville","Kentucky","USA","Ohio River","",""
"New Orleans","Louisiana","USA","Mississippi","",""
"Baton Rouge","Louisiana","USA","Mississippi","",""
"Boston","Massachusetts","USA","","","Atlantic Ocean"
"Springfield","Massachusetts","USA","Connecticut River","",""
"Detroit","Michigan","USA","Detroit River","",""
"Minneapolis","Minnesota","USA","Mississippi","",""
"St. Paul","Minnesota","USA","Mississippi","",""
"Kansas City","Missouri","USA","Missouri","",""
"St. Louis","Missouri","USA","Mississippi","",""
"St. Louis","Missouri","USA","Missouri","",""
"Independence","Missouri","USA","Missouri","",""
"Jefferson City","Missouri","USA","Missouri","",""
"Omaha","Nebraska","USA","Missouri","",""
"Reno","Nevada","USA","Truckee River","",""
"Concord","New Hampshire","USA","Merrimack River","",""
"Jersey City","New Jersey","USA","Hudson River","",""
"Albuquerque","New Mexico","USA","Rio Grande","",""
"New York","New York","USA","Hudson River","","Atlantic Ocean"
"Buffalo","New York","USA","","Lake Erie",""
"Rochester","New York","USA","","Lake Ontario",""
"Yonkers","New York","USA","Hudson River","",""
"Albany","New York","USA","Hudson River","",""
"Bismarck","North Dakota","USA","Missouri","Lake Oahe",""
"Cleveland","Ohio","USA","","Lake Erie",""
"Cincinnati","Ohio","USA","Ohio River","",""
"Toledo","Ohio","USA","","Lake Erie",""
"Tulsa","Oklahoma","USA","Arkansas","",""
"Portland","Oregon","USA","Columbia River","",""
"Pittsburgh","Pennsylvania","USA","Ohio River","",""
"Erie","Pennsylvania","USA","","Lake Erie",""
"Providence","Rhode Island","USA","","","Atlantic Ocean"
"Pierre","South Dakota","USA","Missouri","Lake Oahe",""
"Memphis","Tennessee","USA","Mississippi","",""
"Knoxville","Tennessee","USA","Tennessee","",""
"Chattanooga","Tennessee","USA","Tennessee","",""
"El Paso","Texas","USA","Rio Grande","",""
"Corpus Christi","Texas","USA","","","Gulf of Mexico"
"Salt Lake City","Utah","USA","","Great Salt Lake",""
"Norfolk","Virginia","USA","","","Atlantic Ocean"
"Chesapeake","Virginia","USA","","","Atlantic Ocean"
"Newport News","Virginia","USA","","","Atlantic Ocean"
"Portsmouth","Virginia","USA","","","Atlantic Ocean"
"Milwaukee","Wisconsin","USA","","Lake Michigan",""
"George Town","Cayman Islands","CAYM","","","Caribbean Sea"
"Puntarenas","Puntarenas","CR","","","Pacific Ocean"
"Limon","Limon","CR","","","Caribbean Sea"
"Managua","Nicaragua","NIC","","Lake Managua",""
"Granada","Nicaragua","NIC","","Lake Nicaragua",""
"Panama City","Panama","PA","","","Pacific Ocean"
"Havana","Ciudad de la Habana","C","","","Gulf of Mexico"
"Roseau","Dominica","WD","","","Caribbean Sea"
"Santo Domingo","Dominican Republic","DOM","","","Caribbean Sea"
"Port-au-Prince","Haiti","RH","","","Caribbean Sea"
"La Ceiba","Atlantida","HCA","","","Caribbean Sea"
"Tela","Atlantida","HCA","","","Caribbean Sea"
"Trujillo","Colon","HCA","","","Caribbean Sea"
"Puerto Cortes","Cortes","HCA","","","Caribbean Sea"
"Puerto Lempira","Gracias a Dios","HCA","","","Caribbean Sea"
"Nuuk","Greenland","GROX","","","Atlantic Ocean"
"Saint Georges","Grenada","WG","","","Caribbean Sea"
"Basse-Terre","Guadeloupe","GUAD","","","Caribbean Sea"
"Kingston","Jamaica","JA","","","Caribbean Sea"
"Fort-de-France","Martinique","MART","","","Caribbean Sea"
"Plymouth","Montserrat","MNTS","","","Caribbean Sea"
"Willemstad","Netherlands Antilles","NA","","","Caribbean Sea"
"Marigot","Saint Martin","SMAR","","","Caribbean Sea"
"Leticia","Amazonas","CO","Amazonas","",""
"Barranquilla","Atlantico","CO","Rio Magdalena","",""
"Puerto Inirida","Guainia","CO","Orinoco","",""
"Neiva","Huila","CO","Rio Magdalena","",""
"Barrancabermeja","Santander del Sur","CO","Rio Magdalena","",""
"Puerto Carreno","Vichada","CO","Orinoco","",""
"San Juan","Puerto Rico","PR","","","Atlantic Ocean"
"Basseterre","Saint Kitts and Nevis","KN","","","Caribbean Sea"
"Castries","Saint Lucia","WL","","","Caribbean Sea"
"Saint-Pierre","Saint Pierre and Miquelon","SPMI","","","Atlantic Ocean"
"Kingstown","Saint Vincent and the Grenadines","WV","","","Caribbean Sea"
"Port-of-Spain","Trinidad and Tobago","TT","","","Caribbean Sea"
"Grand Turk","Turks and Caicos Islands","TUCA","","","Atlantic Ocean"
"Charlotte Amalie","Virgin Islands","VIRG","","","Caribbean Sea"
"Pago Pago","American Samoa","AMSA","","","Pacific Ocean"
"Newcastle","New South Wales","AUS","","","Pacific Ocean"
"Sydney","New South Wales","AUS","","","Pacific Ocean"
"Wollongong","New South Wales","AUS","","","Pacific Ocean"
"Sunshine Coast","New South Wales","AUS","","","Pacific Ocean"
"Darwin","Northern Territory","AUS","","","Indian Ocean"
"Brisbane","Queensland","AUS","","","Pacific Ocean"
"Gold Coast","Queensland","AUS","","","Pacific Ocean"
"Townsville","Queensland","AUS","","","Pacific Ocean"
"Adelaide","South Australia","AUS","","","Indian Ocean"
"Hobart","Tasmania","AUS","","","Pacific Ocean"
"Melbourne","Victoria","AUS","","","Indian Ocean"
"Geelong","Victoria","AUS","","","Indian Ocean"
"Perth","Western Australia","AUS","","","Indian Ocean"
"Albany","Western Australia","AUS","","","Indian Ocean"
"Canberra","Australia Capital Territory","AUS","Murrumbidgee River","Lake Burley Griffin",""
"Avarua","Cook Islands","COOK","","","Pacific Ocean"
"Suva","Fiji","FJI","","","Pacific Ocean"
"Papeete","French Polynesia","FPOL","","","Pacific Ocean"
"Agana","Guam","GUAM","","","Pacific Ocean"
"Dededo","Guam","GUAM","","","Pacific Ocean"
"Tarawa","Kiribati","KIR","","","Pacific Ocean"
"Majuro","Marshall Islands","MH","","","Pacific Ocean"
"Kolonia","Micronesia","FSM","","","Pacific Ocean"
"Palikir","Micronesia","FSM","","","Pacific Ocean"
"Yaren","Nauru","NAU","","","Pacific Ocean"
"Noumea","New Caledonia","NCA","","","Pacific Ocean"
"Wellington","New Zealand","NZ","","","Pacific Ocean"
"Auckland","New Zealand","NZ","","","Pacific Ocean"
"Christchurch","New Zealand","NZ","","","Pacific Ocean"
"Alofi","Niue","NIUE","","","Pacific Ocean"
"Kingston","Norfolk Island","NORF","","","Pacific Ocean"
"Saipan","Northern Mariana Islands","NMIS","","","Pacific Ocean"
"Koror","Palau","PAL","","","Pacific Ocean"
"Melekeok","Palau","PAL","","","Pacific Ocean"
"Adamstown","Pitcairn Islands","PITC","","","Pacific Ocean"
"Honiara","Solomon Islands","SLB","","","Pacific Ocean"
"Nukualofa","Tonga","TO","","","Pacific Ocean"
"Funafuti","Tuvalu","TUV","","","Pacific Ocean"
"Port-Vila","Vanuatu","VU","","","Pacific Ocean"
"Mata-Utu","Wallis and Futuna","WAFU","","","Pacific Ocean"
"Apia","Samoa","WS","","","Pacific Ocean"
"La Plata","Buenos Aires","RA","","","Atlantic Ocean"
"Mar del Plata","Buenos Aires","RA","","","Atlantic Ocean"
"Bahia Blanca","Buenos Aires","RA","","","Atlantic Ocean"
"Resistencia","Chaco","RA","Parana","",""
"Comodoro Rivadavia","Chubut","RA","","","Atlantic Ocean"
"Rawson","Chubut","RA","","","Atlantic Ocean"
"Corrientes","Corrientes","RA","Parana","",""
"Parana","Entre Rios","RA","Parana","",""
"Concordia","Entre Rios","RA","Uruguay","",""
"Formosa","Formosa","RA","Paraguay","",""
"Posadas","Misiones","RA","Parana","",""
"Rio Gallegos","Santa Cruz","RA","","","Atlantic Ocean"
"Santa Fe","Santa Fe","RA","Parana","",""
"Rosario","Santa Fe","RA","Parana","",""
"Buenos Aires","Distrito Federal","RA","Parana","",""
"Maceio","Alagoas","BR","","","Atlantic Ocean"
"Macapa","Amapa","BR","Amazonas","",""
"Manaus","Amazonas","BR","Amazonas","",""
"Manaus","Amazonas","BR","Rio Negro","",""
"Salvador","Bahia","BR","","","Atlantic Ocean"
"Ilheus","Bahia","BR","","","Atlantic Ocean"
"Juazeiro","Bahia","BR","Rio Sao Francisco","",""
"Fortaleza","Ceara","BR","","","Atlantic Ocean"
"Vila Velha","Espirito Santo","BR","","","Atlantic Ocean"
"Vitoria","Espirito Santo","BR","","","Atlantic Ocean"
"Sao Luis","Maranhao","BR","","","Atlantic Ocean"
"Belem","Para","BR","Tocantins","","Atlantic Ocean"
"Joao Pessoa","Paraiba","BR","","","Atlantic Ocean"
"Paranagua","Parana","BR","","","Atlantic Ocean"
"Recife","Pernambuco","BR","","","Atlantic Ocean"
"Rio de Janeiro","Rio de Janeiro","BR","","","Atlantic Ocean"
"Niteroi","Rio de Janeiro","BR","","","Atlantic Ocean"
"Natal","Rio Grande do Norte","BR","","","Atlantic Ocean"
"Porto Alegre","Rio Grande do Sul","BR","","","Atlantic Ocean"
"Rio Grande","Rio Grande do Sul","BR","","","Atlantic Ocean"
"Uruguaiana","Rio Grande do Sul","BR","Uruguay","",""
"Porto Velho","Rondonia","BR","Rio Madeira","",""
"Florianopolis","Santa Catarina","BR","","","Atlantic Ocean"
"Itajai","Santa Catarina","BR","","","Atlantic Ocean"
"Sao Paulo","Sao Paulo","BR","","","Atlantic Ocean"
"Santos","Sao Paulo","BR","","","Atlantic Ocean"
"Sao Vicente","Sao Paulo","BR","","","Atlantic Ocean"
"Aracaju","Sergipe","BR","","","Atlantic Ocean"
"Valparaiso","Chile","RCH","","","Pacific Ocean"
"Asuncion","Paraguay","PY","Paraguay","",""
"Montevideo","Uruguay","ROU","","","Atlantic Ocean"
"Cuzco","Cuzco","PE","Amazonas","",""
"Iquitos","Loreto","PE","Amazonas","",""
"Pucallpa","Ucayali","PE","Amazonas","",""
"Georgetown","Guyana","GUY","","","Atlantic Ocean"
"Paramaribo","Suriname","SME","","","Atlantic Ocean"
"Ciudad Bolivar","Bolivar","YV","Orinoco","",""
"Ciudad Guayana","Bolivar","YV","Orinoco","",""
"Maracaibo","Zulia","YV","","Lake Maracaibo","Caribbean Sea"
"Guayaquil","Ecuador","EC","","","Pacific Ocean"
"Stanley","Falkland Islands","FALK","","","Atlantic Ocean"
"Algier","Algeria","DZ","","","Mediterranean Sea"
"Annaba","Algeria","DZ","","","Mediterranean Sea"
"Skikda","Algeria","DZ","","","Mediterranean Sea"
"Oran","Algeria","DZ","","","Mediterranean Sea"
"Bejaia","Algeria","DZ","","","Mediterranean Sea"
"Mostaganem","Algeria","DZ","","","Mediterranean Sea"
"Tripoli","Libya","LAR","","","Mediterranean Sea"
"Bengasi","Libya","LAR","","","Mediterranean Sea"
"Bamako","Mali","RMM","Niger","",""
"Rabat","Morocco","MA","","","Atlantic Ocean"
"Agadir","Morocco","MA","","","Atlantic Ocean"
"Kenitra","Morocco","MA","","","Atlantic Ocean"
"Safi","Morocco","MA","","","Atlantic Ocean"
"Tanger","Morocco","MA","","","Atlantic Ocean"
"Casablanca","Morocco","MA","","","Atlantic Ocean"
"Tetouan","Morocco","MA","","","Mediterranean Sea"
"Niamey","Niger","RN","Niger","",""
"Tunis","Tunisia","TN","","","Mediterranean Sea"
"Luanda","Luanda","ANG","","","Atlantic Ocean"
"Brazzaville","Congo","RCB","Zaire","",""
"Kikwit","Bandundu","ZRE","Cuilo","",""
"Bandundu","Bandundu","ZRE","Kwa","",""
"Bandundu","Bandundu","ZRE","Kasai","",""
"Matadi","Bas Zaire","ZRE","Zaire","",""
"Boma","Bas Zaire","ZRE","Zaire","",""
"Mbandaka","Equateur","ZRE","Zaire","",""
"Kananga","Kasai Occidental","ZRE","Lulua","",""
"Tshikapa","Kasai Occidental","ZRE","Kasai","",""
"Bukavu","Kivu","ZRE","","Lake Kivu",""
"Uvira","Kivu","ZRE","","Lake Tanganjika",""
"Goma","Kivu","ZRE","","Lake Kivu",""
"Kalemie","Shaba/Katanga","ZRE","Lukuga","Lake Tanganjika",""
"Kinshasa","Kinshasa","ZRE","Zaire","",""
"Lagos","Nigeria","WAN","","","Atlantic Ocean"
"Onitsha","Nigeria","WAN","Niger","",""
"Lome","Togo","RT","","","Atlantic Ocean"
"Abidjan","Cote dIvoire","CI","","","Atlantic Ocean"
"Accra","Ghana","GH","","","Atlantic Ocean"
"Bujumbura","Burundi","BI","","Lake Tanganjika",""
"Dar es Salaam","Daressalam","EAT","","","Indian Ocean"
"Garoua","Nord","CAM","Benue","",""
"Bangui","Central African Republic","RCA","Ubangi","",""
"NDjamena","Chad","TCH","Schari","",""
"Malabo","Equatorial Guinea","GQ","","","Atlantic Ocean"
"Libreville","Gabon","G","","","Atlantic Ocean"
"Praia","Cape Verde","CV","","","Atlantic Ocean"
"Malakal","Aali an Nil","SUD","White Nile","",""
"Juba","al Istiwaiyah","SUD","Bahr el-Djebel/Albert-Nil","",""
"Khartoum","al Khartum","SUD","Nile","",""
"Khartoum","al Khartum","SUD","Blue Nile","",""
"Omdurman","al Khartum","SUD","Nile","",""
"Omdurman","al Khartum","SUD","Blue Nile","",""
"Khartoum North","al Khartum","SUD","Nile","",""
"ad Damir","ash Shamaliyah","SUD","Nile","",""
"Port Sudan","ash Sharqiyah","SUD","","","Red Sea"
"Wad Madani","Nil al Asraq","SUD","Blue Nile","",""
"Moroni","Comoros","COM","","","Indian Ocean"
"Conakry","Guinea","RG","","","Atlantic Ocean"
"Monrovia","Liberia","LB","","","Atlantic Ocean"
"Djibouti","Djibouti","DJI","","","Gulf of Aden"
"Mogadishu","Somalia","SP","","","Indian Ocean"
"Mombasa","Coast","EAK","","","Indian Ocean"
"Banjul","Gambia","WAG","Gambia","","Atlantic Ocean"
"Dakar","Dakar","SN","","","Atlantic Ocean"
"Saint Louis","Saint Louis","SN","Senegal","",""
"Bissau","Guinea-Bissau","GNB","","","Atlantic Ocean"
"Freetown","Sierra Leone","WAL","","","Atlantic Ocean"
"Kampala","Uganda","EAU","","Lake Victoria",""
"Xai Xai","Gaza","MOC","Limpopo","","Indian Ocean"
"Maputo","Maputo (munic.)","MOC","","","Indian Ocean"
"Port Louis","Mauritius","MS","","","Indian Ocean"
"Mamoutzou","Mayotte","MAYO","","","Indian Ocean"
"Saint-Denis","Reunion","REUN","","","Indian Ocean"
"Jamestown","Saint Helena","HELX","","","Atlantic Ocean"
"Sao Tome","Sao Tome and Principe","STP","","","Atlantic Ocean"
"Victoria","Seychelles","SY","","","Indian Ocean"
