"City","Province","Country","Island"
"Saint Johns","Antigua and Barbuda","AG","Antigua"
"Pago Pago","American Samoa","AMSA","Tutuila"
"Oranjestad","Aruba","ARU","Aruba"
"Hobart","Tasmania","AUS","Tasmania"
"The Valley","Anguilla","AXA","Anguilla"
"Bridgetown","Barbados","BDS","Barbados"
"Hamilton","Bermuda","BERM","Grand Bermuda"
"Manama","Bahrain","BRN","Bahrain"
"Bandar Seri Begawan","Brunei","BRU","Borneo"
"Nassau","Bahamas","BS","New Providence"
"Road Town","British Virgin Islands","BVIR","Tortola"
"Bayamo","Granma","C","Cuba"
"Camaguey","Camaguey","C","Cuba"
"Ciego de Avila","Ciego de Avila","C","Cuba"
"Cienfuegos","Cienfuegos","C","Cuba"
"Guantanamo","Guantanamo","C","Cuba"
"Havana","Ciudad de la Habana","C","Cuba"
"Holguin","Holguin","C","Cuba"
"Manzanillo","Granma","C","Cuba"
"Matanzas","Matanzas","C","Cuba"
"Nueva Gerona","Isla de la Juventud","C","Cuba"
"Pinar del Rio","Pinar del Rio","C","Cuba"
"Sancti Spiritus","Sancti Spiritus","C","Cuba"
"Santa Clara","Villa Clara","C","Cuba"
"Santiago de Cuba","Santiago de Cuba","C","Cuba"
"Victoria de las Tunas","Las Tunas","C","Cuba"
"George Town","Cayman Islands","CAYM","Grand Cayman"
"Saint Johns","Newfoundland","CDN","Newfoundland"
"Victoria","British Columbia","CDN","Vancouver Island"
"Colombo","Sri Lanka","CL","Sri Lanka"
"West Island","Cocos Islands","COCO","Pulau Panjang"
"Moroni","Comoros","COM","Grand Comoro"
"Avarua","Cook Islands","COOK","Rarotonga"
"Praia","Cape Verde","CV","Santiago"
"Nicosia","Cyprus","CY","Cyprus"
"Copenhagen","Denmark","DK","Seeland"
"Odense","Denmark","DK","Fuenen"
"Santo Domingo","Dominican Republic","DOM","Hispaniola"
"La Laguna","Canary Islands","E","Teneriffa"
"Las Palmas de Gran Canaria","Canary Islands","E","Gran Canaria"
"Palma de Mallorca","Balearic Islands","E","Mallorca"
"Santa Cruz de Tenerife","Canary Islands","E","Teneriffa"
"Ajaccio","Corse","F","Corse"
"Stanley","Falkland Islands","FALK","East Falkland"
"Torshavn","Faroe Islands","FARX","Streymoy"
"Suva","Fiji","FJI","Viti Levu"
"Papeete","French Polynesia","FPOL","Tahiti"
"Kolonia","Micronesia","FSM","Ponape"
"Palikir","Micronesia","FSM","Ponape"
"Aberdeen","Grampian","GB","Great Britain"
"Aberystwyth","Ceredigion","GB","Great Britain"
"Aylesbury","Buckinghamshire","GB","Great Britain"
"Barnsley","South Yorkshire","GB","Great Britain"
"Barry","Vale of Glamorgan","GB","Great Britain"
"Basildon","Essex","GB","Great Britain"
"Basingstoke","Hampshire","GB","Great Britain"
"Bedford","Bedfordshire","GB","Great Britain"
"Belfast","Northern Ireland","GB","Ireland"
"Beverley","Humberside","GB","Great Britain"
"Birmingham","West Midlands","GB","Great Britain"
"Blackburn","Lancashire","GB","Great Britain"
"Blackpool","Lancashire","GB","Great Britain"
"Bolton","Greater Manchester","GB","Great Britain"
"Bournemouth","Dorset","GB","Great Britain"
"Bracknell","Berkshire","GB","Great Britain"
"Bradford","West Yorkshire","GB","Great Britain"
"Braintree","Essex","GB","Great Britain"
"Bridgend","Bridgend","GB","Great Britain"
"Brighton","East Sussex","GB","Great Britain"
"Bristol","Avon","GB","Great Britain"
"Bury","Greater Manchester","GB","Great Britain"
"Caernarfon","Gwynedd","GB","Great Britain"
"Cambridge","Cambridgeshire","GB","Great Britain"
"Canterbury","Kent","GB","Great Britain"
"Cardiff","Cardiff","GB","Great Britain"
"Carlisle","Cumbria","GB","Great Britain"
"Carmarthen","Carmarthenshire","GB","Great Britain"
"Chelmsford","Essex","GB","Great Britain"
"Cheltenham","Gloucestershire","GB","Great Britain"
"Chester","Cheshire","GB","Great Britain"
"Chesterfield","Derbyshire","GB","Great Britain"
"Chichester","West Sussex","GB","Great Britain"
"Colchester","Essex","GB","Great Britain"
"Colwyn Bay","Aberconwy and Colwyn","GB","Great Britain"
"Coventry","West Midlands","GB","Great Britain"
"Crewe","Cheshire","GB","Great Britain"
"Cwmbran","Monmouthshire","GB","Great Britain"
"Darlington","Durham","GB","Great Britain"
"Derby","Derbyshire","GB","Great Britain"
"Doncaster","South Yorkshire","GB","Great Britain"
"Dorchester","Dorset","GB","Great Britain"
"Dover","Kent","GB","Great Britain"
"Dudley","West Midlands","GB","Great Britain"
"Dumfries","Dumfries and Galloway","GB","Great Britain"
"Dundee","Tayside","GB","Great Britain"
"Durham","Durham","GB","Great Britain"
"Eastleigh","Hampshire","GB","Great Britain"
"Ebbw Vale","Blaenau Gwent","GB","Great Britain"
"Edinburgh","Lothian","GB","Great Britain"
"Elmbridge","Surrey","GB","Great Britain"
"Epping Forest","Essex","GB","Great Britain"
"Exeter","Devon","GB","Great Britain"
"Fareham","Hampshire","GB","Great Britain"
"Gateshead","Tyne and Wear","GB","Great Britain"
"Glasgow","Strathclyde","GB","Great Britain"
"Glenrothes","Fife","GB","Great Britain"
"Gloucester","Gloucestershire","GB","Great Britain"
"Guildford","Surrey","GB","Great Britain"
"Harrogate","North Yorkshire","GB","Great Britain"
"Havant","Hampshire","GB","Great Britain"
"Haverfordwest","Pembrokeshire","GB","Great Britain"
"Hertford","Hertfordshire","GB","Great Britain"
"Horsham","West Sussex","GB","Great Britain"
"Huddersfield","West Yorkshire","GB","Great Britain"
"Hull","Humberside","GB","Great Britain"
"Huntingdon","Cambridgeshire","GB","Great Britain"
"Inverness","Highland","GB","Great Britain"
"Ipswich","Suffolk","GB","Great Britain"
"Kings Lynn","Norfolk","GB","Great Britain"
"Kingston","Surrey","GB","Great Britain"
"Kingston upon Hull","Humberside","GB","Great Britain"
"Kirklees","West Yorkshire","GB","Great Britain"
"Kirkwall","Orkneys","GB","Orkney Mainland"
"Knowsley","Merseyside","GB","Great Britain"
"Lancaster","Lancashire","GB","Great Britain"
"Leeds","West Yorkshire","GB","Great Britain"
"Leichester","Leicestershire","GB","Great Britain"
"Lerwick","Shetland","GB","Shetland Mainland"
"Lewes","East Sussex","GB","Great Britain"
"Lincoln","Lincolnshire","GB","Great Britain"
"Liverpool","Merseyside","GB","Great Britain"
"Llandrindod Wells","Powys","GB","Great Britain"
"Llangefni","Anglesey","GB","Anglesey"
"London","Greater London","GB","Great Britain"
"Luton","Bedfordshire","GB","Great Britain"
"Macclesfield","Cheshire","GB","Great Britain"
"Maidstone","Kent","GB","Great Britain"
"Manchester","Greater Manchester","GB","Great Britain"
"Mansfield","Nottinghamshire","GB","Great Britain"
"Matlock","Derbyshire","GB","Great Britain"
"Merthyr Tydfil","Merthyr Tydfil","GB","Great Britain"
"Middlesbrough","Cleveland","GB","Great Britain"
"Milton Keynes","Buckinghamshire","GB","Great Britain"
"Mold","Flintshire","GB","Great Britain"
"Newark on Trent","Nottinghamshire","GB","Great Britain"
"Newbury","Berkshire","GB","Great Britain"
"Newcastle under Lyme","Staffordshire","GB","Great Britain"
"Newcastle upon Tyne","Tyne and Wear","GB","Great Britain"
"Newport","Newport","GB","Great Britain"
"Newtown St. Boswells","Borders","GB","Great Britain"
"Northallerton","North Yorkshire","GB","Great Britain"
"Northampton","Northamptonshire","GB","Great Britain"
"Norwich","Norfolk","GB","Great Britain"
"Nottingham","Nottinghamshire","GB","Great Britain"
"Nuneaton","Warwickshire","GB","Great Britain"
"Oldham","Greater Manchester","GB","Great Britain"
"Oxford","Oxfordshire","GB","Great Britain"
"Peterborough","Cambridgeshire","GB","Great Britain"
"Plymouth","Devon","GB","Great Britain"
"Pontypool","Torfaen","GB","Great Britain"
"Poole","Dorset","GB","Great Britain"
"Port Talbot","Neath and Port Talbot","GB","Great Britain"
"Portsmouth","Hampshire","GB","Great Britain"
"Preston","Lancashire","GB","Great Britain"
"Reading","Berkshire","GB","Great Britain"
"Reigate","Surrey","GB","Great Britain"
"Renfrew","Strathclyde","GB","Great Britain"
"Rhondda","Rhondda Cynon Taff","GB","Great Britain"
"Rhymney Valley","Vale of Glamorgan","GB","Great Britain"
"Rochdale","Greater Manchester","GB","Great Britain"
"Rochester upon Medway","Kent","GB","Great Britain"
"Rotherham","South Yorkshire","GB","Great Britain"
"Ruthin","Denbighshire","GB","Great Britain"
"Saint Albans","Hertfordshire","GB","Great Britain"
"Saint Helens","Merseyside","GB","Great Britain"
"Salford","Greater Manchester","GB","Great Britain"
"Salisbury","Wiltshire","GB","Great Britain"
"Sandwell","West Midlands","GB","Great Britain"
"Scarborough","North Yorkshire","GB","Great Britain"
"Sefton","Merseyside","GB","Great Britain"
"Sevenoaks","Kent","GB","Great Britain"
"Sheffield","South Yorkshire","GB","Great Britain"
"Shrewsbury","Shropshire","GB","Great Britain"
"Slough","Berkshire","GB","Great Britain"
"Solihull","West Midlands","GB","Great Britain"
"Southampton","Hampshire","GB","Great Britain"
"Southend on Sea","Essex","GB","Great Britain"
"Stafford","Staffordshire","GB","Great Britain"
"Stirling","Central","GB","Great Britain"
"Stockport","Greater Manchester","GB","Great Britain"
"Stockton on Tees","Cleveland","GB","Great Britain"
"Stoke on Trent","Staffordshire","GB","Great Britain"
"Stornoway","Outer Hebrides","GB","Lewis and Harris"
"Stratford on Avon","Warwickshire","GB","Great Britain"
"Stroud","Gloucestershire","GB","Great Britain"
"Sunderland","Tyne and Wear","GB","Great Britain"
"Sutton in Ashfield","Derbyshire","GB","Great Britain"
"Swale","Kent","GB","Great Britain"
"Swansea","Swansea","GB","Great Britain"
"Tameside","Greater Manchester","GB","Great Britain"
"Taunton","Somerset","GB","Great Britain"
"Tonbridge","Kent","GB","Great Britain"
"Trafford","Greater Manchester","GB","Great Britain"
"Trowbridge","Wiltshire","GB","Great Britain"
"Truro","Cornwall","GB","Great Britain"
"Tunbridge Wells","Kent","GB","Great Britain"
"Wakefield","West Yorkshire","GB","Great Britain"
"Walsall","West Midlands","GB","Great Britain"
"Warrington","Cheshire","GB","Great Britain"
"Warwick","Warwickshire","GB","Great Britain"
"West Bromwich","West Midlands","GB","Great Britain"
"Wigan","Greater Manchester","GB","Great Britain"
"Winchester","Hampshire","GB","Great Britain"
"Windsor","Berkshire","GB","Great Britain"
"Wiral","Merseyside","GB","Great Britain"
"Wokingham","Berkshire","GB","Great Britain"
"Wolverhampton","West Midlands","GB","Great Britain"
"Worcester","Hereford and Worcester","GB","Great Britain"
"Wrexham","Wrexham","GB","Great Britain"
"Wycombe","Buckinghamshire","GB","Great Britain"
"York","North Yorkshire","GB","Great Britain"
"Ystrad Fawr","Caerphilly","GB","Great Britain"
"Saint Peter Port","Guernsey","GBG","Guernsey"
"Saint Helier","Jersey","GBJ","Jersey"
"Douglas","Man","GBM","Isle of Man"
"Malabo","Equatorial Guinea","GQ","Bioko"
"Iraklion","Kriti","GR","Kreta"
"Mytilini","Voreion Aiyaion","GR","Lesbos"
"Nuuk","Greenland","GROX","Greenland"
"Basse-Terre","Guadeloupe","GUAD","Basse-Terre"
"Agana","Guam","GUAM","Guam"
"Dededo","Guam","GUAM","Guam"
"Jamestown","Saint Helena","HELX","Saint Helena"
"Cagliari","Sardegna","I","Sardegna"
"Catania","Sicilia","I","Sicilia"
"Messina","Sicilia","I","Sicilia"
"Palermo","Sicilia","I","Sicilia"
"Sassari","Sardegna","I","Sardegna"
"Siracusa","Sicilia","I","Sicilia"
"Kavaratti","Lakshadweep Is.","IND","Kavaratti"
"Port Blair","Andaman and Nicobar Is.","IND","South Andaman Island"
"Dublin","Ireland","IRL","Ireland"
"Akureyri","Iceland","IS","Iceland"
"Hafnarfjoerdur","Iceland","IS","Iceland"
"Keflavik","Iceland","IS","Iceland"
"Reykjavik","Iceland","IS","Iceland"
"Akita","Akita","J","Honshu"
"Aomori","Aomori","J","Honshu"
"Chiba","Chiba","J","Honshu"
"Fukui","Fukui","J","Honshu"
"Fukuoka","Fukuoka","J","Kyushu"
"Fukushima","Fukushima","J","Honshu"
"Gifu","Gifu","J","Honshu"
"Hakodate","Hokkaido","J","Hokkaido"
"Hiroshima","Hiroshima","J","Honshu"
"Kagoshima","Kagoshima","J","Kyushu"
"Kanazawa","Ishikawa","J","Honshu"
"Kawasaki","Kanagawa","J","Honshu"
"Kita Kyushu","Fukuoka","J","Kyushu"
"Kobe","Hyogo","J","Honshu"
"Kochi","Kochi","J","Shikoku"
"Kofu","Yamanashi","J","Honshu"
"Kumamoto","Kumamoto","J","Kyushu"
"Kyoto","Kyoto","J","Honshu"
"Maebashi","Gumma","J","Honshu"
"Matsue","Shimane","J","Honshu"
"Matsuyama","Ehime","J","Shikoku"
"Mito","Ibaraki","J","Honshu"
"Miyazaki","Miyazaki","J","Kyushu"
"Morioka","Iwate","J","Honshu"
"Nagano","Nagano","J","Honshu"
"Nagasaki","Nagasaki","J","Kyushu"
"Nagoya","Aichi","J","Honshu"
"Naha","Okinawa","J","Okinawa"
"Nara","Nara","J","Honshu"
"Niigata","Niigata","J","Honshu"
"Oita","Oita","J","Kyushu"
"Okayama","Okayama","J","Honshu"
"Osaka","Osaka","J","Honshu"
"Otsu","Shiga","J","Honshu"
"Saga","Saga","J","Kyushu"
"Sapporo","Hokkaido","J","Hokkaido"
"Sendai","Miyagi","J","Honshu"
"Shizuoka","Shizuoka","J","Honshu"
"Takamatsu","Kagawa","J","Shikoku"
"Tokushima","Tokushima","J","Shikoku"
"Tokyo","Tokyo","J","Honshu"
"Tottori","Tottori","J","Honshu"
"Toyama","Toyama","J","Honshu"
"Tsu","Mie","J","Honshu"
"Urawa","Saitama","J","Honshu"
"Utsonomiya","Tochigi","J","Honshu"
"Wakayama","Wakayama","J","Honshu"
"Yamagata","Yamagata","J","Honshu"
"Yamaguchi","Yamaguchi","J","Honshu"
"Yokohama","Kanagawa","J","Honshu"
"Kingston","Jamaica","JA","Jamaica"
"Tarawa","Kiribati","KIR","Tarawa"
"Basseterre","Saint Kitts and Nevis","KN","Saint Kitts"
"Valletta","Malta","M","Malta"
"Victoria","Malta","M","Gozo"
"Kota Kinabalu","Sabah","MAL","Borneo"
"Kuching","Sarawak","MAL","Borneo"
"Sandakan","Sabah","MAL","Borneo"
"Sibu","Sarawak","MAL","Borneo"
"Tawai","Sabah","MAL","Borneo"
"Fort-de-France","Martinique","MART","Martinique"
"Mamoutzou","Mayotte","MAYO","Mayotte"
"Majuro","Marshall Islands","MH","Majuro"
"Plymouth","Montserrat","MNTS","Montserrat"
"Port Louis","Mauritius","MS","Mauritius"
"Male","Maldives","MV","Male"
"Willemstad","Netherlands Antilles","NA","Curacao"
"Yaren","Nauru","NAU","Nauru"
"Noumea","New Caledonia","NCA","Grande Terre"
"Alofi","Niue","NIUE","Niue"
"Saipan","Northern Mariana Islands","NMIS","Saipan"
"Kingston","Norfolk Island","NORF","Norfolk Island"
"Auckland","New Zealand","NZ","Te Ika-a-Maui (North Island)"
"Christchurch","New Zealand","NZ","Te Waka-a-Maui (South Island)"
"Wellington","New Zealand","NZ","Te Ika-a-Maui (North Island)"
"Funchal","Madeira","P","Madeira"
"Ponta Delgada","Azores","P","Sao Miguel"
"Koror","Palau","PAL","Koror"
"Melekeok","Palau","PAL","Babelthuap"
"Adamstown","Pitcairn Islands","PITC","Pitcairn"
"Port Moresby","Papua New Guinea","PNG","New Guinea"
"San Juan","Puerto Rico","PR","Puerto Rico"
"Yuzhno Sakhalinsk","Sakhalinskaya oblast","R","Sachalin"
"Changhua","Taiwan","RC","Taiwan"
"Chiai","Taiwan","RC","Taiwan"
"Chilung","Taiwan","RC","Taiwan"
"Chungho","Taiwan","RC","Taiwan"
"Chungli","Taiwan","RC","Taiwan"
"Fengshan","Taiwan","RC","Taiwan"
"Fengyuan","Taiwan","RC","Taiwan"
"Hsinchu","Taiwan","RC","Taiwan"
"Hsinchuang","Taiwan","RC","Taiwan"
"Hsintien","Taiwan","RC","Taiwan"
"Hualien","Taiwan","RC","Taiwan"
"Kaohsiung","Taiwan","RC","Taiwan"
"Panchiao","Taiwan","RC","Taiwan"
"Pingtung","Taiwan","RC","Taiwan"
"Sanchuung","Taiwan","RC","Taiwan"
"Taichung","Taiwan","RC","Taiwan"
"Tainan","Taiwan","RC","Taiwan"
"Taipei","Taiwan","RC","Taiwan"
"Taitung","Taiwan","RC","Taiwan"
"Taoyuan","Taiwan","RC","Taiwan"
"Yungho","Taiwan","RC","Taiwan"
"Saint-Denis","Reunion","REUN","Reunion"
"Port-au-Prince","Haiti","RH","Hispaniola"
"Ambon","Indonesia","RI","Ambon"
"Balikpapan","Indonesia","RI","Borneo"
"Banda Aceh","Indonesia","RI","Sumatra"
"Bandar Lampung","Indonesia","RI","Sumatra"
"Bandung","Indonesia","RI","Java"
"Banjarmasin","Indonesia","RI","Borneo"
"Batam","Indonesia","RI","Batam"
"Bengkulu","Indonesia","RI","Sumatra"
"Binjai","Indonesia","RI","Sumatra"
"Blitar","Indonesia","RI","Java"
"Bogor","Indonesia","RI","Java"
"Cirebon","Indonesia","RI","Java"
"Gorontalo","Indonesia","RI","Sulawesi"
"Jakarta","Indonesia","RI","Java"
"Jambi","Indonesia","RI","Sumatra"
"Kediri","Indonesia","RI","Java"
"Madiun","Indonesia","RI","Java"
"Magelang","Indonesia","RI","Java"
"Malang","Indonesia","RI","Java"
"Manado","Indonesia","RI","Sulawesi"
"Medan","Indonesia","RI","Sumatra"
"Padang","Indonesia","RI","Sumatra"
"Palangkaraya","Indonesia","RI","Borneo"
"Palembang","Indonesia","RI","Sumatra"
"Pangkal Pinang","Indonesia","RI","Bangka"
"Pare Pare","Indonesia","RI","Sulawesi"
"Pasuruan","Indonesia","RI","Java"
"Pekalongan","Indonesia","RI","Java"
"Pekan Baru","Indonesia","RI","Sumatra"
"Pematang Siantar","Indonesia","RI","Sumatra"
"Pontianak","Indonesia","RI","Borneo"
"Probolinggo","Indonesia","RI","Java"
"Samarinda","Indonesia","RI","Borneo"
"Semarang","Indonesia","RI","Java"
"Sukabumi","Indonesia","RI","Java"
"Surabaya","Indonesia","RI","Java"
"Surakarta","Indonesia","RI","Java"
"Tanjung Balai","Indonesia","RI","Sumatra"
"Tebing Tinggi","Indonesia","RI","Sumatra"
"Tegal","Indonesia","RI","Java"
"Ujung Pandang","Indonesia","RI","Sulawesi"
"Yogyakarta","Indonesia","RI","Java"
"Antananarivo","Antananarivo","RM","Madagaskar"
"Antsirabe","Antananarivo","RM","Madagaskar"
"Antsiranana","Antsiranana","RM","Madagaskar"
"Fianarantsoa","Fianarantsoa","RM","Madagaskar"
"Majunga","Mahajanga","RM","Madagaskar"
"Tamatave","Toamasina","RM","Madagaskar"
"Toliara","Toliara","RM","Madagaskar"
"Cagayan de Oro","Philippines","RP","Mindanao"
"Cebu","Philippines","RP","Cebu"
"Davao","Philippines","RP","Mindanao"
"Kalookan","Philippines","RP","Luzon"
"Makati","Philippines","RP","Luzon"
"Manila","Philippines","RP","Luzon"
"Pasay","Philippines","RP","Luzon"
"Pasig","Philippines","RP","Luzon"
"Quezon","Philippines","RP","Luzon"
"Zamboanga","Philippines","RP","Mindanao"
"Singapore","Singapore","SGP","Singapore"
"Honiara","Solomon Islands","SLB","Guadalcanal"
"Marigot","Saint Martin","SMAR","St. Martin"
"Saint-Pierre","Saint Pierre and Miquelon","SPMI","Saint Pierre"
"Sao Tome","Sao Tome and Principe","STP","Sao Tome"
"Longyearbyen","Svalbard","SVAX","Svalbard"
"Victoria","Seychelles","SY","Mahe"
"Haikou","Hainan","TJ","Hainan"
"Sanya","Hainan","TJ","Hainan"
"Dili","Timor-Leste","TL","Timor"
"Nukualofa","Tonga","TO","Tongatapu"
"Port-of-Spain","Trinidad and Tobago","TT","Trinidad"
"Grand Turk","Turks and Caicos Islands","TUCA","Grand Turk"
"Funafuti","Tuvalu","TUV","Fongafale"
"Charlotte Amalie","Virgin Islands","VIRG","Saint Thomas"
"Port-Vila","Vanuatu","VU","Efate"
"Mata-Utu","Wallis and Futuna","WAFU","Uvea"
"Roseau","Dominica","WD","Dominica"
"Saint Georges","Grenada","WG","Grenada"
"Castries","Saint Lucia","WL","Saint Lucia"
"Apia","Samoa","WS","Upolu"
"Kingstown","Saint Vincent and the Grenadines","WV","Saint Vincent"
"Flying Fish Cove","Christmas Island","XMAS","Christmas Island"
