"Abbreviation","Name","City","Country","Province","Established"
"ABEDA","Arab Bank for Economic Development in Africa","Khartoum","SUD","al Khartum","1974-02-18"
"ACC","Arab Cooperation Council","","","","1989-02-16"
"ACCT","Agency for Cultural and Technical Cooperation","Paris","F","Ile de France","1970-03-21"
"ACP","African, Caribbean, and Pacific Countries","Brussels","B","Brabant","1976-04-01"
"AfDB","African Development Bank","Abidjan","CI","Cote dIvoire","1963-08-04"
"AFESD","Arab Fund for Economic and Social Development","","","","1968-05-16"
"AG","Andean Group","Lima","PE","Lima","1969-05-26"
"AL","Arab League","Cairo","ET","El Qahira","1945-03-22"
"AMF","Arab Monetary Fund","Abu Dhabi","UAE","Abu Dhabi","1976-04-27"
"AMU","Arab Maghreb Union","Rabat","MA","Morocco","1989-02-17"
"ANC","North Atlantic Cooperation Council","Brussels","B","Brabant","1991-11-08"
"ANZUS","Australia-New Zealand-United States Security Treaty","Canberra","AUS","Australia Capital Territory","1951-09-01"
"APEC","Asia Pacific Economic Cooperation","Singapore","SGP","Singapore","1989-11-07"
"AsDB","Asian Development Bank","Manila","RP","Philippines","1966-12-19"
"ASEAN","Association of Southeast Asian Nations","Jakarta","RI","Indonesia","1967-08-09"
"BCIE","Central American Bank for Economic Integration","Tegucigalpa","HCA","Francisco Morazan","1960-12-13"
"BDEAC","Central African States Development Bank","Brazzaville","RCB","Congo","1975-12-03"
"Benelux","Benelux Economic Union","Brussels","B","Brabant","1958-02-03"
"BIS","Bank for International Settlements","Basel","CH","BS","1930-01-20"
"BSEC","Black Sea Economic Cooperation Zone","","","","1992-06-25"
"C","Commonwealth","London","GB","Greater London","1931-12-31"
"CACM","Central American Common Market","Guatemala City","GCA","Guatemala","1960-12-13"
"CAEU","Council of Arab Economic Unity","Amman","JOR","Jordan","1957-06-03"
"Caricom","Caribbean Community and Common Market","Georgetown","GUY","Guyana","1973-07-04"
"CBSS","Council of the Baltic Sea States","","","","1992-03-05"
"CCC","Customs Cooperation Council","Brussels","B","Brabant","1950-12-15"
"CDB","Caribbean Development Bank","","","","1969-10-18"
"CE","Council of Europe","Strasbourg","F","Alsace","1949-05-05"
"CEEAC","Economic Community of Central African States","Libreville","G","Gabon","1983-10-18"
"CEI","Central European Initiative","Budapest","H","Budapest (munic.)","1991-07-27"
"CEPGL","Economic Community of the Great Lakes Countries","","","","1976-09-26"
"CERN","European Organization for Nuclear Research","Geneva","CH","GE","1953-07-01"
"CIS","Commonwealth of Independent States","Minsk","BY","Belarus","1991-12-08"
"CP","Colombo Plan","Colombo","CL","Sri Lanka","1951-07-01"
"EADB","East African Development Bank","Kampala","EAU","Uganda","1967-06-06"
"EBRD","European Bank for Reconstruction and Development","London","GB","Greater London","1991-04-15"
"ECA","Economic Commission for Africa","Addis Ababa","ETH","Ethiopia","1958-04-29"
"ECE","Economic Commission for Europe","Geneva","CH","GE","1947-03-28"
"ECLAC","Economic Commission for Latin America and the Caribbean","Santiago","RCH","Chile","1948-02-25"
"ECO","Economic Cooperation Organization","Tehran","IR","Tehran","1985-01-01"
"ECOWAS","Economic Community of West African States","Lagos","WAN","Nigeria","1975-05-28"
"EFTA","European Free Trade Association","Geneva","CH","GE","1960-01-04"
"EIB","European Investment Bank","Luxembourg","L","Luxembourg","1957-03-25"
"EN","Nuclear Energy Agency","","","","1958-01-01"
"Entente","Council of the Entente","Abidjan","CI","Cote dIvoire","1959-05-29"
"ESA","European Space Agency","Paris","F","Ile de France","1973-07-31"
"ESCAP","Economic and Social Commission for Asia and the Pacific","Bangkok","THA","Thailand","1947-03-28"
"ESCWA","Economic and Social Commission for Western Asia","Amman","JOR","Jordan","1973-08-09"
"EU","European Union","Brussels","B","Brabant","1992-02-07"
"FAO","Food and Agriculture Organization","Rome","I","Lazio","1945-10-16"
"FZ","Franc Zone","Paris","F","Ile de France","1945-12-20"
"G-10","Group of 10","Paris","F","Ile de France","1962-10-01"
"G-11","Group of 11","","","","1984-06-22"
"G-15","Group of 15","Geneva","CH","GE",""
"G-19","Group of 19","","","","1975-10-01"
"G-2","Group of 2","","","",""
"G-24","Group of 24","Brussels","B","Brabant","1972-01-01"
"G-3","Group of 3","","","","1990-10-01"
"G-5","Group of 5","","","","1985-09-22"
"G-6","Group of 6","","","","1984-05-22"
"G-7","Group of 7","","","","1985-09-22"
"G-77","Group of 77","","","","1967-10-01"
"G-8","Group of 8","","","","1975-10-01"
"G-9","Group of 9","","","",""
"GCC","Gulf Cooperation Council","Riyadh","SA","Saudi Arabia","1981-05-25"
"IADB","Inter-American Development Bank","Washington","USA","Distr. Columbia","1959-04-08"
"IAEA","International Atomic Energy Agency","Vienna","A","Vienna","1956-10-26"
"IBRD","International Bank for Reconstruction and Development","Washington","USA","Distr. Columbia","1944-07-22"
"ICAO","International Civil Aviation Organization","Montreal","CDN","Quebec","1944-12-07"
"ICC","International Chamber of Commerce","Paris","F","Ile de France","1919-01-01"
"ICFTU","International Confederation of Free Trade Unions","Brussels","B","Brabant","1949-12-01"
"ICRM","International Red Cross and Red Crescent Movement","Geneva","CH","GE","1928-01-01"
"IDA","International Development Association","Washington","USA","Distr. Columbia","1960-01-26"
"IDB","Islamic Development Bank","Jeddah","SA","Saudi Arabia","1973-12-15"
"IEA","International Energy Agency","Paris","F","Ile de France","1974-11-15"
"IFAD","International Fund for Agricultural Development","Rome","I","Lazio","1974-11-01"
"IFC","International Finance Corporation","Washington","USA","Distr. Columbia","1955-05-25"
"IFRCS","International Federation of Red Cross and Red Crescent Societies","Geneva","CH","GE","1919-05-05"
"IGADD","Inter-Governmental Authority on Drought and Development","Djibouti","DJI","Djibouti","1986-01-15"
"ILO","International Labor Organization","Geneva","CH","GE","1919-04-11"
"IMF","International Monetary Fund","Washington","USA","Distr. Columbia","1944-07-22"
"IMO","International Maritime Organization","London","GB","Greater London","1958-03-17"
"Inmarsat","International Mobile Satellite Organization","London","GB","Greater London","1976-09-03"
"Intelsat","International Telecommunications Satellite Organization","Washington","USA","Distr. Columbia","1971-08-20"
"Interpol","International Criminal Police Organization","Lyon","F","Rhone Alpes","1956-06-13"
"IOC","International Olympic Committee","Lausanne","CH","VD","1894-06-23"
"IOM","International Organization for Migration","Geneva","CH","GE","1951-12-05"
"ISO","International Organization for Standardization","Geneva","CH","GE","1947-02-01"
"ITU","International Telecommunication Union","Geneva","CH","GE","1932-12-09"
"LAES","Latin American Economic System","Caracas","YV","Distrito Federal","1975-10-17"
"LAIA","Latin American Integration Association","Montevideo","ROU","Uruguay","1980-08-12"
"Mekong Group","ASEAN-Mekong Basin Development Group","","","","1995-12-01"
"Mercosur","Southern Cone Common Market","Buenos Aires","RA","Distrito Federal","1991-03-26"
"MINURSO","United Nations Mission for the Referendum in Western Sahara","New York","USA","New York","1991-04-29"
"MTCR","Missile Technology Control Regime","","","","1987-04-16"
"NAM","Nonaligned Movement","Jakarta","RI","Indonesia","1961-09-01"
"NATO","North Atlantic Treaty Organization","Brussels","B","Brabant","1949-09-17"
"NC","Nordic Council","Stockholm","S","Stockholm","1952-03-16"
"NIB","Nordic Investment Bank","Helsinki","SF","Uusimaa","1975-12-04"
"NSG","Nuclear Suppliers Group","Vienna","A","Vienna",""
"OAPEC","Organization of Arab Petroleum Exporting Countries","","","","1968-01-09"
"OAS","Organization of American States","Washington","USA","Distr. Columbia","1948-04-30"
"OAU","Organization of African Unity","Addis Ababa","ETH","Ethiopia","1963-05-25"
"OECD","Organization for Economic Cooperation and Development","Paris","F","Ile de France","1960-12-14"
"OECS","Organization of Eastern Caribbean States","Castries","WL","Saint Lucia","1981-06-18"
"OIC","Organization of the Islamic Conference","Jeddah","SA","Saudi Arabia","1969-09-22"
"OPANAL","Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean","Mexico City","MEX","Distrito Federal","1967-02-14"
"OPEC","Organization of Petroleum Exporting Countries","Vienna","A","Vienna","1960-09-14"
"OSCE","Organization for Security and Cooperation in Europe","Vienna","A","Vienna","1995-01-01"
"PCA","Permanent Court of Arbitration","","","","1899-07-29"
"PFP","Partnership for Peace","","","","1994-01-10"
"RG","Rio Group","","","","1988-01-01"
"SAARC","South Asian Association for Regional Cooperation","Kathmandu","NEP","Nepal","1985-12-08"
"SACU","Southern African Customs Union","Pretoria","RSA","Gauteng","1969-12-11"
"SADC","Southern African Development Community","Gaborone","RB","Botswana","1992-08-17"
"Sparteca","South Pacific Regional Trade and Economic Cooperation Agreement","","","","1981-01-01"
"SPC","South Pacific Commission","Noumea","NCA","New Caledonia","1947-02-06"
"SPF","South Pacific Forum","Suva","FJI","Fiji","1971-08-05"
"UDEAC","Central African Customs and Economic Union","Bangui","RCA","Central African Republic","1964-12-08"
"UN","United Nations","New York","USA","New York","1945-06-26"
"UNAMIR","United Nations Assistance Mission for Rwanda","New York","USA","New York","1993-10-05"
"UNAVEM III","United Nations Angola Verification Mission","New York","USA","New York","1988-12-20"
"UNCRO","United Nations Confidence Restoration Operation in Croatia","New York","USA","New York","1995-03-31"
"UNCTAD","United Nations Conference on Trade and Development","Geneva","CH","GE","1964-12-30"
"UNDOF","United Nations Disengagement Observer Force","Damascus","SYR","Syria","1974-05-31"
"UNESCO","United Nations Educational, Scientific, and Cultural Organization","Paris","F","Ile de France","1945-11-16"
"UNFICYP","United Nations Force in Cyprus","New York","USA","New York","1964-03-04"
"UNHCR","United Nations Office of the High Commissioner for Refugees","Geneva","CH","GE","1949-12-03"
"UNIDO","United Nations Industrial Development Organization","Vienna","A","Vienna","1966-11-17"
"UNIFIL","United Nations Interim Force in Lebanon","New York","USA","New York","1978-03-19"
"UNIKOM","United Nations Iraq-Kuwait Observation Mission","New York","USA","New York","1991-04-09"
"UNITAR","United Nations Institute for Training and Research","","","","1963-12-11"
"UNMIH","United Nations Mission in Haiti","New York","USA","New York","1993-09-23"
"UNMOGIP","United Nations Military Observer Group in India and Pakistan","New York","USA","New York","1948-08-13"
"UNMOT","United Nations Mission of Observers in Tajikistan","New York","USA","New York","1994-12-16"
"UNOMIG","United Nations Observer Mission in Georgia","New York","USA","New York",""
"UNOMIL","United Nations Observer Mission in Liberia","New York","USA","New York","1993-09-22"
"UNPREDEP","United Nations Preventive Deployment Force","","","","1995-03-31"
"UNPROFOR","United Nations Protection Force","New York","USA","New York","1992-02-28"
"UNRWA","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Vienna","A","Vienna","1949-12-08"
"UNTSO","United Nations Truce Supervision Organization","Jerusalem","IL","Central","1948-05-01"
"UNU","United Nations University","","","","1973-12-06"
"UPU","Universal Postal Union","Bern","CH","BE","1874-10-09"
"WADB","West African Development Bank","Lome","RT","Togo","1973-11-14"
"WCL","World Confederation of Labor","Brussels","B","Brabant","1920-06-19"
"WEU","Western European Union","Brussels","B","Brabant","1954-10-23"
"WFTU","World Federation of Trade Unions","Prague","CZ","Praha","1945-10-03"
"WHO","World Health Organization","Geneva","CH","GE","1946-07-22"
"WIPO","World Intellectual Property Organization","Geneva","CH","GE","1967-07-14"
"WMO","World Meteorological Organization","Geneva","CH","GE","1947-10-11"
"WToO","World Tourism Organization","Madrid","E","Madrid","1975-01-02"
"WTrO","World Trade Organization","","","","1994-04-15"
"ZC","Zangger Committee","","","",""
